Address,Suite,Month,Year,Rent,Reimbursement,Notes
7747 Mesa Ranch Trail,,2,2021,1850.00,,
7747 Mesa Ranch Trail,,3,2021,1850.00,,
7747 Mesa Ranch Trail,,4,2021,1850.00,,
7747 Mesa Ranch Trail,,5,2021,1850.00,,
7747 Mesa Ranch Trail,,6,2021,1850.00,,
7747 Mesa Ranch Trail,,7,2021,1850.00,,
7747 Mesa Ranch Trail,,8,2021,1850.00,,
7747 Mesa Ranch Trail,,9,2021,1850.00,,
7610 Granite Terrace Ln,,10,2021,1800.00,,
7610 Granite Terrace Ln,,11,2021,1800.00,,
7610 Granite Terrace Ln,,12,2021,1800.00,,
7610 Granite Terrace Ln,,1,2022,1800.00,,
7610 Granite Terrace Ln,,2,2022,1800.00,,
7610 Granite Terrace Ln,,3,2022,1800.00,,
7610 Granite Terrace Ln,,4,2022,1800.00,,
8307 Wahl Manor Ct,,1,2019,712.50,,
8307 Wahl Manor Ct,,2,2019,1425.00,,
8307 Wahl Manor Ct,,3,2019,1425.00,,
8307 Wahl Manor Ct,,4,2019,1425.00,,
8307 Wahl Manor Ct,,5,2019,1425.00,,
8307 Wahl Manor Ct,,6,2019,1425.00,,
8307 Wahl Manor Ct,,7,2019,1425.00,,
8307 Wahl Manor Ct,,8,2019,1425.00,,
8307 Wahl Manor Ct,,9,2019,1425.00,,
8307 Wahl Manor Ct,,10,2019,1425.00,,
8307 Wahl Manor Ct,,11,2019,1425.00,,
8307 Wahl Manor Ct,,12,2019,1425.00,,
8307 Wahl Manor Ct,,1,2020,1425.00,,
8307 Wahl Manor Ct,,2,2020,1450.00,,
8307 Wahl Manor Ct,,3,2020,1450.00,,
8307 Wahl Manor Ct,,4,2020,1450.00,,
8307 Wahl Manor Ct,,5,2020,1450.00,,
8307 Wahl Manor Ct,,6,2020,1450.00,,
8307 Wahl Manor Ct,,7,2020,1450.00,,
8307 Wahl Manor Ct,,8,2020,1450.00,,
8307 Wahl Manor Ct,,9,2020,1450.00,,
8307 Wahl Manor Ct,,10,2020,1450.00,,
8307 Wahl Manor Ct,,11,2020,1450.00,,
8307 Wahl Manor Ct,,12,2020,1450.00,,
8307 Wahl Manor Ct,,1,2021,1450.00,,
8307 Wahl Manor Ct,,2,2021,1450.00,,
8307 Wahl Manor Ct,,3,2021,1450.00,,
8307 Wahl Manor Ct,,4,2021,725.00,,
8307 Wahl Manor Ct,,5,2021,1600.00,,deposit
8307 Wahl Manor Ct,,6,2021,853.00,,
8307 Wahl Manor Ct,,7,2021,1600.00,,
8307 Wahl Manor Ct,,8,2021,1600.00,,
8307 Wahl Manor Ct,,9,2021,1600.00,,
8307 Wahl Manor Ct,,10,2021,1600.00,,
8307 Wahl Manor Ct,,11,2021,1600.00,,
8307 Wahl Manor Ct,,12,2021,1600.00,,
8307 Wahl Manor Ct,,1,2022,1600.00,,
8307 Wahl Manor Ct,,2,2022,1600.00,,
8307 Wahl Manor Ct,,3,2022,1600.00,,
8307 Wahl Manor Ct,,4,2022,1600.00,,
8511 Westknoll Ln,,1,2018,0.00,,
8511 Westknoll Ln,,2,2018,0.00,,
8511 Westknoll Ln,,3,2018,0.00,,
8511 Westknoll Ln,,4,2018,0.00,,
8511 Westknoll Ln,,5,2018,0.00,,
8511 Westknoll Ln,,6,2018,0.00,,
8511 Westknoll Ln,,7,2018,1700.00,,
8511 Westknoll Ln,,8,2018,1700.00,,
8511 Westknoll Ln,,9,2018,1700.00,,
8511 Westknoll Ln,,10,2018,1700.00,,
8511 Westknoll Ln,,11,2018,1700.00,,
8511 Westknoll Ln,,12,2018,1700.00,,
8511 Westknoll Ln,,1,2019,1700.00,,
8511 Westknoll Ln,,2,2019,1700.00,,
8511 Westknoll Ln,,3,2019,0.00,,
8511 Westknoll Ln,,4,2019,1700.00,,
8511 Westknoll Ln,,5,2019,284.00,,
8511 Westknoll Ln,,6,2019,1700.00,,
8511 Westknoll Ln,,7,2019,1700.00,,
8511 Westknoll Ln,,8,2019,1700.00,,
8511 Westknoll Ln,,9,2019,1700.00,,
8511 Westknoll Ln,,10,2019,1700.00,,
8511 Westknoll Ln,,11,2019,1700.00,,
8511 Westknoll Ln,,12,2019,1700.00,,
8511 Westknoll Ln,,1,2020,1700.00,,
8511 Westknoll Ln,,2,2020,1700.00,35.00,
8511 Westknoll Ln,,3,2020,1700.00,,
8511 Westknoll Ln,,4,2020,1700.00,,
8511 Westknoll Ln,,5,2020,1700.00,,
8511 Westknoll Ln,,6,2020,1700.00,,
8511 Westknoll Ln,,7,2020,1700.00,,
8511 Westknoll Ln,,8,2020,1726.78,,
8511 Westknoll Ln,,9,2020,1725.00,,
8511 Westknoll Ln,,10,2020,1725.00,,
8511 Westknoll Ln,,11,2020,1725.00,,
8511 Westknoll Ln,,12,2020,1725.00,,
8511 Westknoll Ln,,1,2021,1725.00,,
8511 Westknoll Ln,,2,2021,1725.00,,
8511 Westknoll Ln,,3,2021,1726.00,,
8511 Westknoll Ln,,4,2021,1726.00,,
8511 Westknoll Ln,,5,2021,1726.00,,
8511 Westknoll Ln,,6,2021,1726.00,50.00,Pet violation fee of $200
8511 Westknoll Ln,,7,2021,1725.00,25.00,
8511 Westknoll Ln,,8,2021,1726.00,,
8511 Westknoll Ln,,9,2021,1725.00,50.00,
8511 Westknoll Ln,,10,2021,1725.00,50.00,
8511 Westknoll Ln,,11,2021,1725.00,50.00,"Pet violation fee of $200 paid, $25 overpaid"
8511 Westknoll Ln,,12,2021,1700.00,,
8511 Westknoll Ln,,1,2022,1725.00,,
8511 Westknoll Ln,,2,2022,1725.00,,
8511 Westknoll Ln,,3,2022,1725.00,,
8511 Westknoll Ln,,4,2022,1725.00,,
8523 Causeway Dr,,1,2018,0.00,,
8523 Causeway Dr,,2,2018,1475.00,,
8523 Causeway Dr,,3,2018,1475.00,,
8523 Causeway Dr,,4,2018,1475.00,,
8523 Causeway Dr,,5,2018,1475.00,,
8523 Causeway Dr,,6,2018,1475.00,,
8523 Causeway Dr,,7,2018,1475.00,,
8523 Causeway Dr,,8,2018,1475.00,,
8523 Causeway Dr,,9,2018,1475.00,,
8523 Causeway Dr,,10,2018,1475.00,,
8523 Causeway Dr,,11,2018,1475.00,,
8523 Causeway Dr,,12,2018,1475.00,,
8523 Causeway Dr,,1,2019,1475.00,,
8523 Causeway Dr,,2,2019,1475.00,,
8523 Causeway Dr,,3,2019,1525.00,,
8523 Causeway Dr,,4,2019,1525.00,,
8523 Causeway Dr,,5,2019,1525.00,,
8523 Causeway Dr,,6,2019,1525.00,,
8523 Causeway Dr,,7,2019,1525.00,,
8523 Causeway Dr,,8,2019,1525.00,,
8523 Causeway Dr,,9,2019,1525.00,,
8523 Causeway Dr,,10,2019,1525.00,,
8523 Causeway Dr,,11,2019,1525.00,,
8523 Causeway Dr,,12,2019,1525.00,,
8523 Causeway Dr,,2,2020,1525.00,,
8523 Causeway Dr,,1,2020,1525.00,,
8523 Causeway Dr,,3,2020,1575.00,,
8523 Causeway Dr,,4,2020,1550.00,,
8523 Causeway Dr,,5,2020,1550.00,,
8523 Causeway Dr,,6,2020,1550.00,,
8523 Causeway Dr,,7,2020,1550.00,,
8523 Causeway Dr,,8,2020,1550.00,,
8523 Causeway Dr,,9,2020,1550.00,,
8523 Causeway Dr,,10,2020,1550.00,,
8523 Causeway Dr,,11,2020,1550.00,,
8523 Causeway Dr,,12,2020,1550.00,,
8523 Causeway Dr,,1,2021,1550.00,,
8523 Causeway Dr,,2,2021,1550.00,,
8523 Causeway Dr,,3,2021,1550.00,,
8523 Causeway Dr,,4,2021,1550.00,,
8523 Causeway Dr,,5,2021,1550.00,,
8523 Causeway Dr,,6,2021,1550.00,,
8523 Causeway Dr,,7,2021,1550.00,,
8523 Causeway Dr,,8,2021,1550.00,,
4102-4116 McKinney St,4114,10,2018,0.00,,empty
4102-4116 McKinney St,4114,10,2019,1500.00,,
4102-4116 McKinney St,4114,10,2020,1575.00,,
4102-4116 McKinney St,4114,11,2018,0.00,,empty
4102-4116 McKinney St,4114,11,2019,1500.00,,
4102-4116 McKinney St,4114,12,2018,0.00,,empty
4102-4116 McKinney St,4114,12,2019,1500.00,,
4102-4116 McKinney St,4116,1,2019,1600.00,,
4102-4116 McKinney St,4116,1,2020,1600.00,,
4102-4116 McKinney St,4116,2,2019,1600.00,,
4102-4116 McKinney St,4116,2,2020,1500.00,,
4102-4116 McKinney St,4116,3,2019,1600.00,,
4102-4116 McKinney St,4116,3,2020,1600.00,,
4102-4116 McKinney St,4116,4,2019,1600.00,,
4102-4116 McKinney St,4116,4,2020,1600.00,,
4102-4116 McKinney St,4116,5,2019,1600.00,,
4102-4116 McKinney St,4116,5,2020,1600.00,,
4102-4116 McKinney St,4116,6,2019,1600.00,,
4102-4116 McKinney St,4116,6,2020,0.00,,
4102-4116 McKinney St,4116,7,2019,1600.00,,
4102-4116 McKinney St,4116,7,2020,1650.00,,
4102-4116 McKinney St,4116,8,2019,1600.00,,
4102-4116 McKinney St,4116,8,2020,1117.72,,
4102-4116 McKinney St,4116,9,2018,0.00,,empty
4102-4116 McKinney St,4116,9,2019,1600.00,,
4102-4116 McKinney St,4116,9,2020,1420.00,,
4102-4116 McKinney St,4116,10,2018,0.00,,empty
4102-4116 McKinney St,4116,10,2019,1600.00,,
4102-4116 McKinney St,4116,10,2020,1650.00,,
4102-4116 McKinney St,4116,11,2018,1600.00,,
4102-4116 McKinney St,4116,11,2019,0.00,,
4102-4116 McKinney St,4116,12,2018,1354.91,,
4102-4116 McKinney St,4116,12,2019,3200.00,,
4102-4116 McKinney St,Reimbursement,1,2019,19.05,,
4102-4116 McKinney St,Reimbursement,1,2020,180.43,,
4102-4116 McKinney St,Reimbursement,2,2019,116.88,,
4102-4116 McKinney St,Reimbursement,3,2019,81.45,,
4102-4116 McKinney St,Reimbursement,4,2019,927.75,,
4102-4116 McKinney St,Reimbursement,5,2019,134.16,,
4102-4116 McKinney St,Reimbursement,6,2019,325.14,,
4102-4116 McKinney St,Reimbursement,7,2019,753.08,,
4102-4116 McKinney St,Reimbursement,8,2019,240.68,,
4102-4116 McKinney St,Reimbursement,9,2019,,,
4102-4116 McKinney St,Reimbursement,10,2019,200.00,,
4102-4116 McKinney St,Reimbursement,11,2019,100.00,,
4102-4116 McKinney St,Reimbursement,12,2019,298.42,,
4102-4116 McKinney St,4102,11,2020,1700.00,,
4102-4116 McKinney St,4104,11,2020,1650.00,,
4102-4116 McKinney St,4106,11,2020,1650.00,,
4102-4116 McKinney St,4106,11,2020,30.00,,November late fee
4102-4116 McKinney St,4106,11,2020,120.00,,September late fee
4102-4116 McKinney St,4106,11,2020,25.00,,Repair - Reimbursement from Lowes
4102-4116 McKinney St,4108,11,2020,1550.00,,
4102-4116 McKinney St,4110,11,2020,1650.00,,
4102-4116 McKinney St,4112,11,2020,1600.00,,
4102-4116 McKinney St,4114,11,2020,1575.00,,
4102-4116 McKinney St,4116,11,2020,1650.00,,
4102-4116 McKinney St,4102,12,2020,1700.00,,
4102-4116 McKinney St,4104,12,2020,1650.00,,
4102-4116 McKinney St,4108,12,2020,1550.00,,
4102-4116 McKinney St,4108,12,2020,97.50,,Single Unit - Tenant Repair Charge - TY4ZXD - tripper breaker for water heater. Plumber reset water heater and water heater started to work. Tenant responsibility to check breaker.
4102-4116 McKinney St,4110,12,2020,1650.00,,
4102-4116 McKinney St,4110,12,2020,100.00,,"Whole Unit - Tenant Deductible - TX4TWYBB - D&P
Plumbing unclogged laboratory drain and shower
drain."
4102-4116 McKinney St,4112,12,2020,1600.00,,
4102-4116 McKinney St,4114,12,2020,1575.00,,
4102-4116 McKinney St,4116,12,2020,1550.00,,
4102-4116 McKinney St,4116,12,2020,100.00,,Tenant Deductible - Home Depot delivered and installed new dishwasher. Meld TX0JIYU
8523 Causeway Dr,,9,2021,1550.00,,
8523 Causeway Dr,,10,2021,1550.00,,
8523 Causeway Dr,,11,2021,1550.00,,
8523 Causeway Dr,,12,2021,1550.00,,
8523 Causeway Dr,,1,2022,1550.00,,
8523 Causeway Dr,,2,2022,1550.00,,
8523 Causeway Dr,,3,2022,1550.00,,
8523 Causeway Dr,,4,2022,1550.00,,
